Programa de Estaciones Meteorologicas del Bachillerato Universitario  (PEMBU)                                                                                                 
www.ruoa.unam.mx/pembu                                                                                                                                                        
Estacion ENP4-UNAM,Ciudad de Mexico                                                                                                                                           
Lat 19.4037 N, Lon 99.1949 W, Alt 2307 msnm                                                                                                                                   
Horario UTC-6h                                                                                                                                                                
Datos meteorologicos                                                                                                                                                          
                                                                                                                                                                              
Fecha_hora,Temp,Hum_Rel,Rapidez_v_sostenido,Dir_v_sostenido,Rapidez_rachas,Dir_rachas,Presion_bar,Precipitacion,Rad_Solar,Indice_UV,Dosis_UV                                  
aaaa/mm/dd HH:MM:SS,C,%,m/s,grados,m/s,grados,hPa,mm,W/m2,adimensional,mJ/cm2                                                                                                 
2006/10/01 00:00:00,   14.6,   86.0,     .4,  315.0,    1.3,  270.0,  775.7,     .0,     .0,      .5,      .1                                                                 
2006/10/01 00:30:00,   14.5,   87.0,     .9,  360.0,    2.7,  337.5,  775.7,     .0,     .0,      .4,      .1                                                                 
2006/10/01 01:00:00,   14.3,   86.0,    1.3,  360.0,    4.9,  360.0,  775.5,     .0,     .0,      .4,      .1                                                                 
2006/10/01 01:30:00,   13.9,   88.0,     .9,  360.0,    4.5,  360.0,  775.2,     .0,     .0,      .5,      .1                                                                 
2006/10/01 02:00:00,   13.7,   87.0,     .9,  337.5,    4.5,  337.5,  774.9,     .0,     .0,      .5,      .1                                                                 
2006/10/01 02:30:00,   13.9,   86.0,     .4,  315.0,    2.7,  315.0,  774.8,     .0,     .0,      .5,      .1                                                                 
2006/10/01 03:00:00,   13.9,   85.0,     .0,  315.0,    1.3,  315.0,  774.7,     .0,     .0,      .5,      .1                                                                 
2006/10/01 03:30:00,   13.9,   84.0,     .9,  360.0,    3.6,  360.0,  774.6,     .0,     .0,      .5,      .1                                                                 
2006/10/01 04:00:00,   13.7,   83.0,     .4,  360.0,    3.1,  360.0,  774.6,     .0,     .0,      .5,      .1                                                                 
2006/10/01 04:30:00,   13.7,   81.0,     .9,  337.5,    4.5,  337.5,  774.6,     .0,     .0,      .5,      .1                                                                 
2006/10/01 05:00:00,   13.8,   82.0,     .9,  337.5,    4.5,  360.0,  774.7,     .0,     .0,      .5,      .1                                                                 
2006/10/01 05:30:00,   13.8,   83.0,     .4,  337.5,    1.3,  337.5,  774.7,     .0,     .0,      .5,      .1                                                                 
2006/10/01 06:00:00,   13.8,   84.0,     .0,  337.5,     .9,  337.5,  774.8,     .0,     .0,      .5,      .1                                                                 
2006/10/01 06:30:00,   13.8,   85.0,     .0,  337.5,     .4,  337.5,  775.2,     .0,     .0,      .5,      .1                                                                 
2006/10/01 07:00:00,   13.7,   84.0,     .0,  337.5,    1.3,  337.5,  775.3,     .0,     .0,      .5,      .1                                                                 
2006/10/01 07:30:00,   13.7,   85.0,     .0,  337.5,     .9,  337.5,  775.7,     .0,    1.0,      .5,      .1                                                                 
2006/10/01 08:00:00,   13.9,   84.0,     .0,  337.5,    1.3,  337.5,  776.0,     .0,   15.0,      .5,      .1                                                                 
2006/10/01 08:30:00,   14.1,   83.0,     .0,  360.0,    2.2,  360.0,  776.2,     .0,   49.0,      .6,      .1                                                                 
2006/10/01 09:00:00,   14.6,   80.0,     .4,  360.0,    2.7,  360.0,  776.4,     .0,  135.0,      .9,      .1                                                                 
2006/10/01 09:30:00,   14.8,   79.0,     .4,  315.0,    2.7,  337.5,  776.8,     .0,  123.0,     1.1,      .2                                                                 
2006/10/01 10:00:00,   15.0,   77.0,     .4,  315.0,    1.3,  315.0,  777.0,     .0,  124.0,     1.1,      .2                                                                 
2006/10/01 10:30:00,   16.3,   73.0,     .4,  337.5,    3.6,  337.5,  777.2,     .0,  350.0,     2.8,      .4                                                                 
2006/10/01 11:00:00,   17.5,   66.0,     .4,  315.0,    3.1,  337.5,  777.1,     .0,  480.0,     4.0,      .6                                                                 
2006/10/01 11:30:00,   18.4,   60.0,     .4,  225.0,    2.7,   90.0,  776.9,     .0,  496.0,     4.8,      .8                                                                 
2006/10/01 12:00:00,   19.2,   53.0,     .0,  135.0,    2.2,  112.5,  776.9,     .0,  467.0,     5.6,      .9                                                                 
2006/10/01 12:30:00,   20.2,   52.0,     .4,   90.0,    3.6,   90.0,  776.7,     .0,  484.0,     5.8,      .9                                                                 
2006/10/01 13:00:00,   19.1,   53.0,    1.8,   90.0,    4.9,  112.5,  776.3,     .0,  485.0,     6.3,     1.0                                                                 
2006/10/01 13:30:00,   20.6,   46.0,     .9,   90.0,    4.9,   90.0,  775.8,     .0,  461.0,     5.9,      .9                                                                 
2006/10/01 14:00:00,   21.7,   43.0,    1.3,   90.0,    4.5,   90.0,  775.2,     .0,  827.0,     8.5,     1.4                                                                 
